Időszak,Nettó import,Bruttó termelés,Nukleáris,Szén és széntermékek,Földgáz,Kőolajter-mékek,Biomassza,Biogáz ,Kommunális hulladék megújuló,Víz,Szél,Nap,Geoter-mikus,Egyéb,Összes felhasználás
          február,"1,133","2,825","1,081",365,960,2,102,24,10,18,106,128,2,27,"3,958"
          március,"1,017","3,018","1,439",384,730,3,112,25,14,15,72,197,2,25,"4,035"
          április,659,"2,732","1,460",238,490,4,109,25,13,22,38,298,2,33,"3,391"
          május,834,"2,599","1,360",217,465,3,133,24,13,23,71,261,1,28,"3,433"
          június,943,"2,553","1,181",221,618,4,138,24,13,17,60,253,1,23,"3,496"
          július,845,"2,986","1,417",314,683,5,146,24,10,24,34,303,1,25,"3,831"
          augusztus,"1,048","2,670","1,054",347,695,2,144,25,15,23,32,308,1,24,"3,718"
          szeptember,724,"3,000","1,409",349,712,2,146,26,9,15,36,274,1,21,"3,724"
          október,893,"3,141","1,513",337,794,3,175,27,16,22,66,160,0,28,"4,034"
          november,"1,186","2,941","1,230",326,"1,001",3,176,25,14,23,34,79,1,29,"4,127"
          december,"1,219","2,941","1,387",340,839,4,168,27,15,21,56,50,2,32,"4,160"
